,audit_observation,status_of_implementation,management_action,references,source,status_score,status
11,"11. seventy percent (70%) of the local disaster risk reduction and management fund was not utilized for pre-disaster preparedness activities which may affect the lgu's capability to prevent and mitigate damages, and may limit its capability to respond in case of unforeseen disaster in the locality. we recommend that - a. the local chief executive should direct the ldrrm officer to prepare the municipal risk reduction and management plan strictly in accordance with section 1 rule 18 of the irr of ra 10121 and dilg memorandum circular no. 2012-73 dated april 17, 2012. ldrrmf should be used exclusively for disaster risk activities. equipment intended to be used by the administrative personnel should be sourced from the general fund. b. the local chief executive should ensure that the municipal risk reduction and management plan is carried out in order to attain favorable results such as the prevention and mitigation of damages in case of a disaster.",partially implemented,"for 2012, a municipal risk reduction and management plan was prepared by the ldrrm officer.",aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
12,"12. acknowledgement receipt for equipment (are) were not renewed every three (3) years contrary to section 492 of the government accounting and auditing manual, volume 1 and were not cancelled/replaced when there was change in custodianship contrary to section 123 of the new government accounting system manual, volume i, thus, the present custodian of the equipment per file of the municipality cannot be pinpointed/identified. we recommend that - a. management instruct the oic-municipal treasurer to facilitate the renewal of all acknowledgement receipt for equipments; b. the oic-municipal treasurer cancel/ replace ares on equipment whose custodianship was transferred.",partially implemented,the designate mun. treasurer was already instructed on the matter and the officer in charge is currently in the process of updating existing ares.,aar 2011,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
13,"13. the local chief executive failed to appoint a municipal treasurer that would oversee the financial activities/concerns of the municipality contrary to section 470 of ra 7160 otherwise known as the local government code of 1991. recommendation: we recommend that the local chief executive should appoint a permanent municipal treasurer to oversee, ensure and be focused on the concerns, duties and responsibilities of the municipal treasurer.",not implemented,the lgu has sought the assistance of the provincial treasurer's office for possible qualified personnel from their office to fill the position,aar 2011,12-valencia2013_status_of_py's_recommendation.pdf,0.0,0
14,"14. a job order employee of the municipality was authorized by the management to collect entrance fees of the badiang spring resort without the corresponding fidelity bond and proper designation contrary to section 305(f) of ra 7160, section 4.2 of treasury circular no. 02-2009 and rule 1 on the applicable policies on cash management (handbook on cash examination), thus government funds in her possession are not adequately protected. we recommend that management- a. assign a regular municipal employee who is properly bonded and duly designated to collect and to oversee the collections of the badiang spring resort. all requisitioned accountable forms intended for badiang spring resort should be her/his responsibility. b. adhere to the regulations prescribed under section 305(f) of ra7160, section 4.2 of treasury circular no. 02-2009 and rule 1 on the applicable policies on cash management.",not implemented,the designate municipal treasurer directly oversees the receipt and immediate turn- over of collections received by job order employees tasked to collect entrance fees at badiang spring resort.,aar 2011,12-valencia2013_status_of_py's_recommendation.pdf,0.0,0
15,15. the management failed to ensure optimum utilization of the 20% development fund for developmental projects and programs due to partial implementation of projects thus deprived the constituents of the benefits that may be availed from the socio- economic improvements. we recommend that - a. the local chief executive should direct the concerned lgu officials to prioritize the implementation of programmed projects of the 20% development fund; b. the local chief executive should ensure optimum and efficient utilization of the 20% development fund and achieve the desired socio- economic development and environmental outcomes.,not implemented,,aar 2011,12-valencia2013_status_of_py's_recommendation.pdf,0.0,0
16,"1. ms. regilyn c. pamittan, revenue collection clerk incurred shortage in her cash accountabilities totaling p211,324.32 during the cash examination conducted last september 10, 2007. for the calendar year 2009 to 2012, only p was restituted leaving a balance of p122,324.32. 2. the monthly bank reconciliation statements were not prepared and submitted on time by the municipal accountant, in violation of section 74 of pd no. 1445 and coa circular no. 96-011 dated october 21, 1996, thus, the accuracy and validity of the cash accounts amounting to p25,831,737.49 remained period in violation of section 8 of coa circular no. 94-001 dated january 20, 1994, thus, resulting to the delay in verification of the transactions, and consequently, delaying the information to management on any deficiency had these been audited on time.",not implemented,none during the year 2013. the municipal failed to make follow ups for the release of bank statements from the bank . during the year end.,aar cy 2012 aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,0.0,0
17,"7. long overdue uncollected receivables from recipients of kilusang kabuhayan at kaunlaran (kkk) livelihood loan program totaling to p77,750.00 remained outstanding.","recommendation was not implemented records and memorandum of agreement regarding the program can no longer be found. this is reiterated in no. 7, aar cy 2012.",the account remained dormant during the past 29 years already. no action.,aar cy 2011,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,0.0,0
18,"8. collection from various accounts in the amount of p86,557.24 remained undeposited as of december 31, 2012//.",recommendation was implemented early jan. 2013.,year-end collections were not deposited before the last banking day of the year.the undeposited collections were deposited in the ensuing month.,aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,1.0,2
19,"9. out of the total receivables of p2,627,868.20 from individuals who availed of the housing program at nangalisan bliss, only p933,009.58 was collected, leaving balance of p1,697,451.08 which remained uncollected as of december, 2011.",not implemented,"the account remained dormant.during the year, only 933,009.58 was collected.",aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,0.0,0
20,"10. disallowances amounting to p560,348.36 remained unsettled as of december 31, 2012 in violation 0f section 9.1 of coa cir. no. 94-001 dated january 24, 1994.","recommendation was partially implemented this is reiterated in no. 10, aar cy 2012.","there was a settlement of p73,248.36.",aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,0.5,1
21,"11. the newly constructed market totaling to p29, 998,144.31, some vehicles and other insurable properties of the municipality were not insured with the general insurance fund and the property replacement fund of the gsis, in violation of coa cir. no. 92-390 dated november 17, 1992, thereby not protected against losses arising from fire and other incidents.","recommendation was partially implemented this is reiterated in no. 11, aar cy 2012.",not acted upon during the year.,aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf,0.5,1
22,"1. property, plant and equipment in the gross amount of p62,903,933.37and as appearing in the financial statements was not reconciled with the inventory report submitted by the municipal treasurer, thus the risk that some properties were not accounted for thereby affecting the fair presentation of the property, plant and equipment accounts in the financial statements. we recommend that the acting accountant and the municipal treasurer should reconcile their records to ensure that all properties are properly and correctly accounted for. the difference should be investigated and the necessary correcting entries should be prepared and adjusted to come out with a corrected balance of ppe accounts.",not implemented,there was only partial inventory taking so they did not prepare the rcppe.,aa r 201 2,01-sugpon2013_audit_report.pdf,0.0,0
23,3. the municipality failed to implement fully the programs/projects/ac tivities for gender and development in order to address gender issues and promote women's empowerment and gender equality. we therefore recommend that the municipality should implement fully the programs/projects funded under its gad plan so as to fully address the gender issues/problems of its constituents in the municipal level.,implemented,all gad related projects under the gad plan were fully implemente d.,aa r 201 2,01-sugpon2013_audit_report.pdf,1.0,2
24,"4. four(4) projects funded under the ra 7171 fund- congressional share totalling to p22,600,000 were not yet implemented as at year-end, thus the timely benefit accruing to the supposed beneficiaries were not delivered to them. we recommend the immediate implementation of funded projects so that benefits derived therefrom will be timely delivered to the constituents.",implemented,all four projects were implemente d.,aa r 201 2,01-sugpon2013_audit_report.pdf,1.0,2
25,"5. other receivables amounting to p654,046.65 appearing in the general fund representing livelihood loans for livelihood assistance to qualified associations, accredited cooperatives and individuals remained uncollected for a number of years despite frequent reminders to these recipients, thus hampered the rollback of these funds and deprived others the use thereof. we recommend that the local chief executive should require the municipal employees concerned to exert greater effort for the collection of these long outstanding loans receivables so that rollback of these funds could be made on time thus giving chance to others the use of these funds for assistance.",not implemented,"the mswo who is in charge of collecting payments was constantly reminding the debtors, but there was no payment received.",aa r 201 2,01-sugpon2013_audit_report.pdf,0.0,0
26,"6. audit suspensions totalling to p618,675.88 were issued during the year and were totally settled in january 2013 pursuant to section 9.4 of coa circular 2009-006 dated september 15, 2009. we recommend the municipal accountant to see to it that attachments to a claim should be properly and completely documented to avoid the issuance of notices of suspensions. likewise, they should be guided with the regulations on the prevention of irregular, unnecessary, excessive, extravagant and unconscionable expenses to avoid the possible incurrence of audit disallowances. moreover, they should continue to adhere to section 9.4 of coa circular 2009-006 dated september 15, 2009 which requires the settlement of suspensions within ninety (90) days to avoid maturity of these to disallowances.",partially implemented,there were still lacking documents.,aa r 201 2,01-sugpon2013_audit_report.pdf,0.5,1
27,"1. the adjustments effected on the property, plant and equipment amounting to p76,037,673.94 were not supported with the declaration of the inventory committee that assets were obsolete, fully depreciated, unserviceable and no longer used by the municipality contrary to section 04 (p) of the new government accounting system (ngas) volume i, thus, said corrections could not be ascertained that resulted to the decrease of assets and government equity accounts of the municipality during the year. we recommend that management: 1. require the inventory committee to submit the report declaring the assets which are already obsolete, unserviceable and no longer used by the municipality to the municipal accountant to ascertain the adjustments effected in the property, plant and equipment; 2. conduct the proper turn over of assets to the barangays for proper control and monitoring; 3. require the municipal accountant to effect necessary re-adjustments based on the action taken by the inventory committee and the transfer of assets to the barangays",partially implemented not implemented not implemented,the committee take the inventory of properties but the report was not submitted. no turned over was conducted. no adjustment made.,cy 2012,01-ubay2013_audit_report.pdf,0.16666666666666666,1
28,"2. the amount of p5,442,291.01 cash advances for salaries and wages of regular and casual employees were not supported with payrolls or list of payees with their net payments contrary to section 175 ( c ) of the government accounting and auditing manual (gaam) volume i, thus, amounts withdrawn were not equal to the net amounts of the payroll for a particular period. we recommend that management: 1. require the payroll preparer to furnish the payrolls/list of payees with their net payments to the disbursing officer to support cash advances for salaries and wages; 2. require the disbursing officer to draw cash advances equal to the net amount of the payrolls/list of payees only, specify clearly the pay period and attached said documents to the cash advance vouchers; 3. require the accountant to check the amount in the cash advance voucher to the net amount of the payrolls/lists and make corrections if there is",implemented implemented implemented,list of salaries for cash advance were furnish to the disbursing officer. cash advance for salaries equal to the payroll/list of payees. cash advance was thoroughly reviewed.,cy 2012,01-ubay2013_audit_report.pdf,1.0,2
29,"3. cash advances for administrative expenses amounting to p2,066,077.15 were granted without the specific purposes contrary to section 174(e) of the government accounting and auditing manual (gaam) volume i, thus, validity, legality and propriety of the cash advances could not be thoroughly evaluated. any; 4. require the disbursing officer to return immediately any excess of the cash advance amount. we recommend that management: 1. stop the grant of cash advances for administrative expenses instead pay all regular expenses of the municipality by checks for proper control and monitoring; 2. instruct the disbursing officer to pay cash only in small amounts through the petty cash fund; 3. regulate the granting of cash advances for specific legal purposes to avoid the accumulation of cash in the",implemented implemented implemented implemented,amount balances were returned immediately. starting june 2013 no ca for administrative expenses. only petty expenses were paid in the petty cash fund. cash advances were granted on specific legal purpose.,cy 2012,01-ubay2013_audit_report.pdf,1.0,2
30,"4. regular purchases of supplies and materials amounting to p1,597,411.86 were directly recorded to expense accounts and directly issued to end users contrary to section 4 (j) of the new government accounting system (ngas) volume i, thus, utilization of the items could not be properly controlled and monitored. hands of the accountable officer; 4. require the accountable officer to liquidate immediately the cash advance after the purpose been fulfilled and submit the liquidation report to the accounting unit for recording. we recommend that management: 1. require the accountant to record regular purchases of supplies and materials to its inventory account for proper control and monitoring; 2. require the accountant to maintain the perpetual inventory records such as supplies ledger cards; 3. require the property and supply office/unit to maintain",partially liquidated implemented not implemented not implemented,most of the cash advances were liquidated supplies and materials purchased were recorded in the inventory accounts. no ledger cards maintain. no stock cards maintain.,cy 2012,01-ubay2013_audit_report.pdf,0.3333333333333333,1
31,"5. repairs/maintenance, construction and improvements of government facilities amounting to p1,007,920.94 were not supported with estimate of work/drawings/plans and specifications prepared by an engineer contrary to chapter 3, section 360(b) of the government accounting and auditing manual (gaam) volume i, which may possibly result to wastage of materials and subsequent loss of government resources. 6. deliveries of items amounting to p876,389.70 purchased by the local government unit were directly accepted by the requisitioning officers/end users contrary to section 118 of the new government accounting system (ngas) volume i thus, supplies and properties could not be properly receipted and subjected to inspection to determine compliance with specifications. stock cards and reconcile the balances with the ledger cards of the accounting unit; 4. require the requisitioning unit to prepare the requisition and issue slip of the items requisitioned; 5. require the property and supply office/unit to release the items based on the approved ris and prepare the summary of supplies and materials issued (ssmi) for submission to the accounting section; 6. require the accounting section to record its issuances based on the summary of supplies and materials issued. recommendation we recommend to management that effective immediately, all constructions/improvements, repairs and maintenance of government facilities should be supported with estimate of work, labor costs, drawings/plans and specifications to prevent wastage of materials and losses of government resources. we recommend that management: 1. require the municipal treasurer/general services officer as the case may be to accept first all deliveries of items purchased by the local government unit before inspection. then, subject the deliveries to proper inspection by the authorized inspector. 2. require the municipal treasurer to prepare the requisition issue slip (ris) in the issuance of supplies and materials acknowledged",partially implemented partially implemented partially implemented implemented partially implemented not implemented,"purchase requests (pr) were used. release of items through acceptance report. acceptance report is the basis of recording. we instructed the municipal engineer to prepare estimates, plans and specifications also for repairs/maintenance of facilities. the requesting officer is the one accepting first the deliveries of items. no request and issue slip prepared.",cy 2012 cy 2012,01-ubay2013_audit_report.pdf,0.5,1
32,"7. cash advances for travels and special purpose amounting to p521,245.60 were not liquidated during the year even if the purposes had been served contrary to the provisions of coa circular no. 97-002 and section 179(h) of the government accounting and auditing manual (gaam) volume i, thereby overstating the assets and understating the expenses and exposing cash to misapplication. received by the requisitioning officer/employee. 3. require the municipal treasurer to summarize weekly the ris using the summary of supplies and materials issued (ssmi) and submit to the municipal accountant for recording. 4. require the municipal accountant to record the expenditures based on the ssmi using the appropriate expenditure accounts in the books of the municipality we recommend that management: 1. require the employees concerned to liquidate immediately all their unliquidated cash advances. failure to liquidate said cash advances may constitute a valid cause for the withholding of the salaries of these employees;",not implemented partially implemented partially implemented implemented,no summary of supplies and materials issued was prepared. expenditures were recorded based on its acceptance. demands letters were issued. no additional cash,cy 2012,01-ubay2013_audit_report.pdf,0.5,1
33,"8.the real property tax/special education tax receivables were not established throughout the year contrary to section 20 of the new government accounting system (ngas) volume i, thus, assets of the municipality was understated by the amount of p214,873.36 representing the uncollected rpt/set receivables which were not recorded in the books during the year. 2. avoid additional cash advance without settlement/liquidation of the previous cash advance. 3. avoid the grant of cash advance for special purpose to a non-designated disbursing officer and not bonded to safeguard the municipality's limited resources. we recommend that management: 1. require the municipal treasurer at the beginning of the year to prepare a certified list of taxpayers showing the names and the amounts due and collectible for the year and submit the list to the municipal accountant for recording; 2. instruct the municipal accountant to prepare the journal entry vouchers based on the list by debiting to real property tax receivable/special education",implemented not implemented not implemented,advance granted to officials with cash advance balances. cash advances were granted only to bonded officials. no list of taxpayers submitted to accounting. no receivables set up at the beginning of the year.,aar cy 2012,01-ubay2013_audit_report.pdf,0.3333333333333333,1
34,"9. the waste materials report (wmr) was not prepared and the damaged parts were not turned over to the municipal treasurer/property officer contrary to section 58 of the new government accounting system (ngas) manual volume ii, thus, necessity of purchasing new parts for replacements amounting to p171,828.50 could not be ascertained. 10. cash advances for travels of various employees amounting to p123,760.00 were not granted directly to the travelling employees contrary to section 174(d) of the government accounting and auditing manual (gaam) volume i, which may possibly result in the non-settlement of the cash advance amount. tax receivable and crediting to deferred real property tax income/deferred education tax income. we recommend that management: 1. require the driver/operator concerned to prepare the waste materials report(wmr) and turned over the damaged parts to the municipal treasurer/property officer for safekeeping before requesting the new parts; 2. require the municipal treasurer/property officer to receive the damage parts and keep in a safe place for proper control and disposal. we recommend that management: 1. stop the grant of cash advances for travels in a lump amount, instead, give it individually to the employee concerned only; 2. require the employees to liquidate immediately the cash advances when the purpose have been served and submit the liquidation documents to the accounting unit; 3. require the accountant to book up immediately the liquidation documents submitted for proper control and monitoring; 4. avoid allowing additional cash advance without the liquidation of the previous cash advance.",implemented implemented implemented partially implemented implemented implemented,we required the driver/mechanic to prepare the waste materials report every request for spare parts. the property officer is the custodian of the damaged parts. cash advances were directly granted to the travelling employees already. employees were required to liquidate after travel. accounting immediately booked up submitted documents for liquidations. no cash advance granted to employees with unliquidated balances.,cy 2012 cy 2012,01-ubay2013_audit_report.pdf,0.9166666666666666,1
35,"11. the municipality incurred excess expenditures amounting to p92,132.15 for extraordinary and miscellaneous expenses contrary to the review notes of the cy 2013 annual budget from the sangguniang panlalawigan and the provincial budget and management office, thus, said expenses were not properly appropriated. 12. the municipality failed to provide bundy clock/biometric machine or official time record for the actual and prescribed time of attendance of work by the employees contrary to section 194 of the government accounting and auditing manual (gaam) volume i that may result to fraudulent claims of salaries and wages. we recommend management to: 1. strictly adhere in the allowable expenses per object of expenditures as provided in the review notes of the annual budget by the sangguniang panlalawigan and the provincial budget and management office to avoid the incurrence of disallowable transactions; we recommended that management 1. purchase and install bundy clock/biometric machine for the employees daily attendance in the office/work to ensure actual time rendered as the basis for payment of salaries and wages. 2. require all employees to use the bundy clock/biometric",implemented not implemented not implemented,expenses for extraordinary and miscellaneous were controlled. no purchase made. use only the logbook.,cy 2012 cy 2012,01-ubay2013_audit_report.pdf,0.3333333333333333,1
36,"13. monetization of leave credits of officials and employees were not properly effected, controlled and monitored contrary to sections 22 and 23 of csc mc no. 41 s. 1998, thus, validity of its availment could not be properly evaluated to the prejudice of other officials and employees. machine to record attendance. 3. require all employees to prepare daily time record based on bundy card/biometric print out signed by the immediate supervisor and attached same to the payroll. we recommend that management: 1. properly monitor and control the granting of allowable days of the vacation and total leave credits for monetization in accordance with the provisions of csc mc circular no. 41 s. of 1998; 2. grant only 30 days or 50% of the total leave credits earned by an employee with valid and justifiable reasons as provided for in the existing regulation; 3. reclassify the charges of monetization from the",implemented implemented implemented implemented,employees were required to submit daily time records based on the logbook. granted monetization in accordance with the regulation. required to submit justification on the monetization above the 30 days. adjustments were effected.,aar cy 2012,01-ubay2013_audit_report.pdf,1.0,2
37,"14. no official cashbooks were maintained by the municipal treasurer and collecting officer contrary to section 04(e) of the new government accounting system (ngas) manual volume i, thus, accountabilities could not be immediately and readily determined as of any given time. 15. had the local government unit utilized the amount of p881,854.66 of the 20% development fund for developmental projects as mandated under joint circular no. 2011-1 of the department of interior and local government (dilg) and the department of budget and management (dbm), the constituents could have partake the benefits out of the projects. 16. copies of contracts/purchase orders were not submitted for audit and verification within five (5) days from issuance contrary to coa circulars 2009-001, 87-278, 89-299 and 96-010, which prevented the auditor from conducting review and evaluation of the terms and conditions of the contract at the most appropriate time and manner. terminal leave benefits to other personnel benefits account. we recommend that management: 1. require the municipal treasurer and disbursing officer to maintain an official cashbooks by fund and by accounts to record transactions of the municipality; 2. require the accountable officers to record daily the transactions in the cashbooks to arrive at a correct balances; 3. require the accountable officers to reconcile monthly balances with the accounting records and immediately effect adjustment if there is any. we recommend to management that: 1. the municipal development council (mdc) should be specific in the identification of the developmental projects based on the joint circular for funding out of the 20% development fund; 2. concerned local officials in-charge in the utilization of the fund should ensure that only expenses outlined under paragraph 3.0 of joint circular no. 2011-1, dated april 11, 2011 by the department of interior and local government (dilg) and the department of budget and management (dbm) should be considered in the implementation of projects in order to realize the benefits out of the fund. we recommend to management that: a. copies of perfected contracts/purchase orders together with the supporting",implemented implemented implemented implemented partially implemented not implemented,official cashbooks were maintained posting in the cashbook were done daily. reconciliation were done by the accounting unit. projects programmed for the year were based on the guidelines in the utilization of the 20%. other maintenance expenses were charge due to the lack of available funds in the regular budget. no po/contract submitted.,cy 2012 cy 2012 aar cy 2011,01-ubay2013_audit_report.pdf,0.75,1
38,"17. acknowledgement receipts of equipment/motor vehicles for fixed assets were not prepared/renewed, contrary to section 42 of the national government accounting system (ngas) manual, thereby rendering it difficult to pinpoint responsibility in case of loss. 18. due from officers and employees and advances to officers and employees accounts of p60,734.20 and p94,826.36, respectively, remained unliquidated as of december 31, 2013 contrary to coa circular no. 97-002 and section 89 of presidential decree no. 1445. 19. receivables-disallowances/ charges amounting to p109,895.00 remained unsettled in the books of accounts beyond 360 days contrary to section 37 and 112 of presidential decree 1445, thus, collectability and propriety of these accounts were doubtful. documents should be submitted to the auditor within five (5) days after approval, in compliance with coa circular nos. 2009- 001, 96-010, 89-299 and 87- 278. we recommend to management that: a. the concerned personnel of the property/supply unit be instructed to immediately prepare/renew all acknowledgement receipt of equipment (are) and every three (3) years thereafter pursuant to section 42 of the ngas manual, so that the responsibility over the loss of any of these properties could be readily determined. b. submit copies of the prepared/renewed acknowledgement receipt of equipment to this office for verification. we recommend that management: a. immediately send demand letters to the concerned officers/employees to liquidate their outstanding cash advances. b. cause the withholding of the salary of the accountable officer concerned for his/her failure to liquidate cash advances within the prescribed period in compliance with coa circular no. 97-002. we recommend that management: a. require the municipal accountant to send confirmation and/or demand letters to individuals concerned. otherwise, upon due notice, effect deduction from whatever benefits due",partially implemented not implemented partially implemented implemented partially implemented,the property officer was instructed to prepare and renew the acknowledgment receipts. no are submitted demand letters and deductions of salaries on staggered basis were effected to concerned employees. deductions on staggered basis were effected on the salaries of some concerned employees. concerned employees were deducted from their salaries on staggered basis.,cy 2011 cy 2011 cy 2011,01-ubay2013_audit_report.pdf,0.5,1
