,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
79,,"10. non-collection of loan receivables amounting to p4,815,050.00 had deprived the other constituents from availing of the intended benefit for which the fund was created. we recommended that management send demand letters and take appropriate legal action in the collection of overdue receivables to generate funds for other constituents who wish to avail of the livelihood program.",,partially implemented. no appropriate legal action was initiated.,already sent demand letters.,aar 2012,01-sual2013_audit_report.pdf
150,,direct the municipal,partially,,financial reports,aar,01-tubigon2013_audit_report.pdf
483,,"i. ii. 1. audit suspensions and disallowances amounting to p2,310,672.80 and p1,324,273.65 respectively, remained unsettled as of december 31, 2012 in violation of coa circular no. 2009-006 dated september 15, 2009. we recommend that the requirements of the transactions suspended in audit must be complied within the ninety-day period to avoid maturity of disallowance. settlement of audit disallowances that become final and executory should be strictly enforced by withholding the salaries or other compensation due the persons liable who are still employed with the government. management should employ all possible means provided by law for the settlement of disallowances to those who are already separated from government service, otherwise those other persons determined to be liable shall settle the same.",,"partially implemented the management settled their notice of suspension eighty percent (80%) however, settlement on the notice of disallowance is still on process.",the accounting office submitted the required supporting documents to settle their notices of suspension,2012 aar p. 14-15,05-mahatao2013_part3-status_of_py's_recommendations.pdf
484,,"iii. 2. purchases of supplies and materials amounting to p2,402,008.78 were directly charged to expense account instead of recording them as inventories, contrary to section 4 (j), 51 and 121 of coa circular no. 2002-003 dated june 20, 2002 of the new government accounting system (ngas), hence the inventory accounts were understated and the expense accounts was overstated as of year-end. we recommend that the accounting and the general service office should observe strictly the existing rules and regulations in recording purchases/receipt and issuance of inventories to ensure adequate control over inventories pursuant to the above cited-regulations.",n/a n/a,fully implemented ,"the acting accountant recorded some of the purchased supplies and materials to an asset method however, some were directly charged to expense accounts",2012 aar p. 15-17 ,05-mahatao2013_part3-status_of_py's_recommendations.pdf
485,,"3. unserviceable properties amounting to p545,357.71 have not been transferred to other assets account in violation section 04 of coa circular no. 2002-003 dated june 20, 2002 and section 79 of pd 1445 thus, overstating the assets and equity accounts as of year-end. we recommend that the lgu should adhere strictly to the aforementioned provisions of coa circular 2002-003 dated june 20, 2002 and section 79 of pd 1445. we also recommend that management should adopt its disposal policies such that unserviceable assets beyond economic repair and withdrawn from operations shall be properly disposed through sale by public auction, transfer or donation to barangay governments or other government agencies and scrapping when some unsaleable items may have reusable components which may be removed before destruction.",n/a n/a,fully implemented ,the acting accountant prepared journal entry voucher (jev) to record the transfer of the unserviceable properties to other asset account. ,2012 aar p. 17-18 ,05-mahatao2013_part3-status_of_py's_recommendations.pdf
487,,"5. eleven (11) parcel of lots owned by the municipality with a total declared market value of p4,487,640,.00 are not covered with certificate of titles in its name contrary to section 449 of coa circular no. 91-368, dated december 19,1991, thus the government’s ownership over the property is uncertain. we recommend that the local chief executive should make a written instruction to the acting property officer and assistant municipal assessor to coordinate for the immediate transfer of certificates of title of the six (6) lots in the name of the municipality. exhaust all means to secure tct or any document that will serve as evidence of ownership of untitled lots. fund should be sufficiently appropriated and be made available to defray expenses relative to the titling.",n/a n/a,partially implemented the transfer of title is still on process ,the local chief executive already instructed the concerned officials ,2012 aar p. 19-20 ,05-mahatao2013_part3-status_of_py's_recommendations.pdf
488,,"6. hired personnel under the “job orders” contract of employment were charged to specific programs, projects and activities of the lgu. farther review revealed that accomplishment reports of the various personnel under job order contract were not submitted or attached as supporting documents to the disbursements for their wages as required under item 1.2.1 of coa circular no. 2012-001 dated june 14, 2012 and section 4 (6) of pd 1445. we recommend that accomplishment report should be submitted/attached as supporting document to the payment of wages paid to contractual employees. likewise, special power of attorney (spa) or a written authorization from the payees who could not personally receive the pay should be submitted/attached as requires under coa circular no. 2012-001 dated june 14, 2012 and section 4 (6) of pd 1445.",n/a n/a,partially implemented ,the management required the submission of the accomplishmen t report to be attached in disbursement voucher ,2012 aar p. 21-22 ,05-mahatao2013_part3-status_of_py's_recommendations.pdf
534,,"1. the validity and existence of property, plant &equipment(ppe) worth p48,057,824.26 & other assets account of p428,600.00 could not be ascertained due to the failure of the mun. govt. to conduct a complete inventory of agency assets in violation of sections 119 &124 of ngas, thus casting doubt on the reliability of account balance. we recommendedto management to conduct annual physical inventory of all ppe and other assets of the agency to verify existence their status & existence.likewise, the acting mun. accountant should prepare and maintain property ledger cards. the gso or supply officer should prepare and maintain stock cards for inventory & property cards for ppe to be reconciled to the ledger cards maintained in the accounting office.",,"implemented. the report on the physical count of ppe as of december 31, 2013 was already submitted to the auditor’s office.",management already conducted physical inventory of the lgu’s ppe. reconciliation between accounting and property records is on-going with minimal unreconciled balances.,aar cy 2012 page 12,05-maconacon2013_part3-status_of_py's_recommendations.pdf
535,,"2.failure to submit copies of the contracts together with the supporting documents within five days upon approval of the perfected contract and pos as required under coa circular no. 2009-001 resulted to our inability to perform timely review and evaluation of the transactions. we recommended that management require the officials concerned to submit the contracts/purchase orders and their supporting documents to coa within the prescribed period pursuant to coa circular no. 2009-001 dated february 12, 2009.",,not implemented. the head of the bac secretariat failed to submit copies of the bid documents/contracts and the supply officer for purchase orders. this was reiterated in part ii.,no action.,aar cy 2012 page 13,05-maconacon2013_part3-status_of_py's_recommendations.pdf
536,,"3. the validity and legitimacy of accounts payable amounting to p2,304,602.10 could not be determined due to the absence of valid documents, thus rendering the account balance doubtful. we recommended that all accounts payable if without claimants and which have been outstanding for two years or more, or all undocumented accounts payable regardless of the year they were incurred, be immediately reverted to the unappropriated surplus.",,implemented.,management had taken action by effecting payments on transactions with complete documentations.,aar cy 2012 page 14,05-maconacon2013_part3-status_of_py's_recommendations.pdf
537,,"4. the accounting unit failed to maintain ppe ledger cards &supply ledger cards while property cards and stock cards are not maintained by the gso, in violation of the prescribed rules and regulations of the perpetual inventory system in the lgu, hence the accuracy and validity of the ppe & inventory accounts could not be ascertained. we recommended to management to fully implement the perpetual inventory system by using the prescribed forms and procedures in the procurement of supplies and materials.",n/a n/a,implemented. ,management had taken action on this by maintaining the required ledger cards. ,aar cy 2012 page 14 ,05-maconacon2013_part3-status_of_py's_recommendations.pdf
538,,"5. management certifies, approves, authorizes and pay transactions without complete documentation in violation of section 2 & 4(b) of p.d. 1445. we recommended that management will correct the practice and require complete documentation before certification, approval, authorization and payment of transactions and/or claims.",,implemented.,management had improved documentations of the claims before payments.,aar cy 2012 page 15,05-maconacon2013_part3-status_of_py's_recommendations.pdf
539,,"6. advances to officers & employees in an aggregate amount of p838,212.66 remained in the books of accounts as of december 31, 2012. we recommended to management strict adherence to section 89 of pd 1445 and section 5.1of coa circular no. 97-002. management should enforce the immediate liquidation of outstanding cash advances & institute appropriate legal action, if circumstances warrant. ",n/a n/a,"partially implemented. the balance as of 12/31/13 amounting to p238,638.73 were those of officials/employees who are no longer in the service. the official concerned pays on installment at p5,000.00/month. ","management had exerted its effort in the settlement of outstanding cash advances. since there was already substantial compliance and that he provision of law, rules and regulations on the granting, utilization and liquidation of cash advances are now strictly observed.",aar cy 2012 page 16 ,05-maconacon2013_part3-status_of_py's_recommendations.pdf
540,,"7. report on the utilization of the local disaster risk reduction management fund (ldrrmf) of the agency was not submitted to the auditor’s office on or before the 15th day after the end of each month in violation of section 12, (c24) of ra 101211 dated may 27, 2010.. we recommended to management to submit the report on the utilization of the lrrrm fund to the auditor’s office on or before the 15th day after the end of each month pursuant to the above cited regulations for verification whether these funds were properly utilized solely for calamity and sustainable development of the agency.",,implemented.,management had submitted the required reports monthly.,aar cy 2012 page 17,05-maconacon2013_part3-status_of_py's_recommendations.pdf
977,,"1. the account due from officers and employees amounting to p1,226,232.84 remained unliquidated as of december 31, 2012 contrary to section 89 of p.d. 1445 and coa circular no. 97-002 thereby overstating the pertinent asset accounts and understating the pertinent prior and current years expenditure accounts by the same amount. we recommended that the management cause the suspension/withholding of salaries of personnel who unjustifiably fails to settle/liquidate their cash advances within the prescribed period pursuant to coa circulars nos. 97- 002 and 2012-004. we also recommended that the management exhaust all possible means to locate the whereabouts of officials and employees who are no longer connected with the agency and require them to immediately liquidate",partially implemented ,"except for the vice mayor, salaries of those who are still employed by the lgu were not withheld. ",demand letters were sent to all debtors with overdue cash advances. ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
978,,"observations/ recommendations and/or refund their cash advances. we further recommend that the management see to it that the rules and regulations on the granting, utilization and liquidation of cash advances shall, henceforth, be strictly adhered to.",status of implementation ,reason for partial/non- implementation ,management action ,ref. ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
979,,"2. the validity, correctness and existence of the property, plant and equipment account of p53,293,376.64 is unreliable due to the absence of physical inventory report and complete accounting and property records as required in sections 119, 120 and 124 of the new government accounting system (ngas) manual. we recommended that the local chief executive (lce): (a) direct the property officer to immediately prepare and submit the inventory report and reconcile the same with the property records and subsidiary ledgers maintained by the accounting office; (b) create an appraisal committee to assist in the valuation of assets carried without cost, or those where records could no longer be located; (c) instruct the property officer to maintain",partially implemented ,physical inventory report is not yet submitted to the office of the auditor. property cards were not updated by the supply officer. ,stickers which served as identification for municipal properties were placed. property cards are now maintained by the supply officer. ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
980,,"3. other assets account amounting to p1,404,000.00 could no longer be utilized effectively and be considered as asset due to its nature as defined in the new government accounting system (ngas) manual, resulting to the overstatement of reported assets and government equity accounts of the municipality. we recommended that the municipal accountant reclassify the cost of the feasibility study for the water system from other assets to adjustment in the",fully implemented , ,adjusting entries were properly made by the accountant. ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
981,,"observations/ recommendations government equity, through prior year’s adjustment, to recognize the same as a prior year’s expense rather than an asset in the absence of any agency asset or public infrastructure to which said cost can be attributed as part of asset cost.",status of implementation ,reason for partial/non- implementation ,management action ,ref. ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
982,,"4. the validity and accuracy of other payables account amounting to p3,041,785.33 remained unreliable due to the failure of the municipal accountant to trace the composition of the account and the absence of subsidiary records to support recording in the books of accounts. we recommended that the municipal accountant exert effort to trace and locate available documents and records to substantiate the correctness of the recorded other payables account as presented in the financial statements and to make the necessary adjustments, including a reversion of any unliquidated balance which has been outstanding for more than two years and against which no actual claim, administrative or judicial, has been filed or which is not covered by perfected contracts on",not implemented ,neither an adjusting entry was made nor a schedule was prepared. ,none ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
983,,observations/ recommendations,status of implementation,reason for partial/non- implementation,management action,ref.,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
984,,"5. the unobligated balance of the local disaster risk reduction and management fund (ldrrmf) amounting to p4,704,707.38 was not transferred to a special trust fund in the trust fund books in violation of coa circular no. 2012- 002, thereby exposing the said fund to possible misapplication. we recommended that the municipal accountant draw a journal entry voucher in the general and trust fund books in order to transfer the unexpended/unobligated balance of the ldrrmf in a special trust fund in order to ensure and facilitate the continued use of the fund for disaster risk reduction and management activities as provided in the ldrrmfip within the next five years. the following entries are recommended: general fund subsidy to other funds cash trust fund cash trust liability-drrmf we recommended further that the municipal accountant follow all the",partially implemented ,the fund was transferred to the account due to lgu’s (418) instead of trust liability- ldrrmf (438). ,the ldrrmf was transferred to trust fund. ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
985,,observations/ recommendations procedures necessary for the proper accounting of ldrrmf as well as including a discussion on the appropriate disclosures in the notes to the financial statements in the succeeding annual financial reports.,status of implementation ,reason for partial/non- implementation ,management action ,ref. ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
986,,"6. funds for the supplemental feeding program of the municipality totaling p951,375.00 were disbursed in spite of the incomplete documentary requirements necessary in the purchase of goods contrary to section 4(6) of presidential decree 1445 and coa circular no. 2012-001, thus creating doubts on the regularity and propriety of the disbursements. we recommended that the management abide by all the rules and regulations necessary for the proper disbursement of government funds, including compliance with the documentary requirements, in order to prevent unwarranted disbursement of government funds.",fully implemented , , ,cy 2012 aar ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
987,,7. the municipality failed to formulate a gender and development (gad) plan contrary to section 36 of ra no. 9710 and,not implemented,"no separate gad plan was prepared for cy 2013. instead, all",none,cy 2012 aar,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
988,,"observations/ recommendations we recommended that the local chief executive create a gad focal point which should be tasked to catalyze and facilitate the institutionalization of gender mainstreaming and women’s empowerment within the municipality. the gad focal point shall advocate for, coordinate, guide and monitor the development and implementation of the municipality’s gad plan and gad-related programs, activities and projects. we also recommended that the management see to it that the appropriated funds are utilized for programs, projects and activities that would address the gender issues in the locality, determined through conduct of gender audit, gender analysis, generation and review of sex-disaggregated data, and consultation with gender/women’s rights",status of implementation ,reason for partial/non- implementation gad activities are still incorporated in the aip.,management action ,ref. ,11-mariaaurora2013_part3-status_of_py's_recommendations.pdf
1017,,"11. statement of audit suspensions, disallowances and charges (sasdc) as of december 31, 2012 showed that suspensions had a balance of p2, 690,920.00 we recommended that management submit the necessary documents in order to settle the suspensions.",,not implemented.,no action taken because management was still in the process of looking for the copies of notice of suspensions and other documents as required in the notice of suspensions.,aar 2012,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1018,,"1. no physical inventory was conducted by the management on its property, plant and equipment valued at p229,574,370.77 (net of accumulated depreciation) contrary to section 124 of the manual on the new government accounting system (mngas) volume i, hence, the validity, accuracy and existence of these properties could not be ascertained. we recommended that the local chief executive require the committee created to conduct a physical inventory on the agency’s properties in compliance with section 124 of the mngas. likewise, appraise the values of these properties and prepare a report thereon, a copy of which is to be submitted to the auditor concerned not later than january 31, of each year. the report should be classified for each type of property, plant and equipment for purposes of comparison/reconciliation with the general ledger balances. the condition of the properties should be indicated to determine those that are unserviceable/obsolete, and assets still serviceable but no longer being used, for proper reclassification to other assets, while properties which are for public use should be transferred to the registry of public infrastructure.",n/a n/a,not implemented. according to management the committee members have their specific duties to attain to their work and they have no more time for the inventory taking. but they promised to finish the inventory taking this year of 2014. ,"a physical inventory committee was created but was unable to complete the inventory taking, hence no report was submitted as of december 31, 2013. ",aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1019,,"2. the accuracy and validity of the cash in bank account balance in the total amount of p33,631,763.51 were doubtful due to the non-preparation and non-submission of the monthly bank reconciliation statements by the accounting office to the auditor concerned for review/verification which was contrary to coa circular no. 96-011. we recommended that the municipal accountant prepare the monthly bank reconciliation statements and submit the same to the auditor’s office concerned for review/verification in compliance with coa circular no. 96-011. in the event that the municipal accountant failed to prepare and submit the monthly bank reconciliation statements to the auditor’s office concerned for review, we further recommend that the local chief executive must take the necessary course of action as the absence of the said statements could prevent the early detection of irregularities and necessary adjustments.",n/a n/a,fully implemented. the municipal accountant had prepared and submitted the monthly bank reconciliation statements. ,already complied. ,aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1020,,"3.advances to officers and employees in the total amount of p1,451,338.40 remained unliquidated as of december 31, 2012 in violation of coa circular no. 97-002 dated february 10, 1997, thus, receivables and government equity account balances were overstated while expenses were understated at year-end. we recommended that the municipal officials and employees concerned liquidate their cash advances immediately. the municipal officials approving the cash advances should adhere strictly to the rules and regulations on the granting, utilization and liquidation of cash advance furthermore enforce full liquidation of all cash advances at the end of each year in order that the financial condition and results of operations of the agency of each year would be fairly presented. in case the concerned official/employee failed to liquidate his/her cash advance despite due notices, necessary and appropriate action must be taken against him/her. ",n/a n/a,partially implemented. some have already liquidated their cash advances while others were still looking for some documents which would be attached to the liquidation report. ,the management notified the officials and employees concerned about their unliquidated cash advances. ,aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1021,,"4. real property tax receivable and special education tax receivable both had zero (p0.00) balances as of december 31, 2012, an indication that the setting up of the same at the beginning of the year was not based on duly updated real property tax account register (rptar) contrary to section 20 of the manual on the new government accounting system (mngas). we recommended that the local chief executive require the municipal assessor to finalize the updating of the assessment roll, a copy of which is to be furnished to the municipal treasurer for the rptar or taxpayers’ index cards. likewise, the municipal treasurer should furnish the municipal accountant a duly certified list showing the names of the taxpayers and the amount due and collectible for the year as basis of setting up rpt/set receivable in compliance with section 20 of the mngas, volume i. we also recommended that the municipal accountant make the necessary adjustments so that the rpt receivable and the set receivable are of the same amount and also equal to deferred real property tax income and deferred special education tax income.",,not implemented. no rpt/set receivables were taken up in the books for 2013.,no rpt/set receivables were taken up in the books for 2013. the assessor is still in the process of updating and computerizing its record.,aar 2012,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1022,,"5. competitive public bidding was not observed by the agency as the primary mode of procurement of supplies and materials in violation of section 10 of republic act no. 9184, thus, deprived the agency of obtaining the costs most advantageous to the government. we recommended that the local chief executive instruct the bac to strictly observe public bidding as the primary mode of procurement of supplies and materials in compliance with section 10 of ra 9184",,fully implemented.,already conducting public bidding as the primary made of procurement of supplies and materials.,aar 2012,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1023,,"6. copies of contracts/purchase orders were not furnished the coa auditor for review contrary to coa circular no. 2009-001 dated february 12, 2009, thereby placing the government funds to possible loss. we recommended that copies of contracts/purchase orders entered into by municipality be furnished the auditor concerned within five (5) days from the execution of the contract for review in order to detect/correct any defects/errors theron immediately and to prevent any possible loss of government funds.",,partially implemented.,"management claimed that they were not fully aware of the coa circular, hence they were not furnishing copies of purchase orders, however they were furnishing copies of regular contracts.",aar 2012,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1024,,"7. special accounts for market, slaughterhouse and 20% development fund under the general fund were not maintained by the accounting office contrary to section 105, volume i of the manual on the new government accounting system (mngas), thus management was denied adequate information on the agency’s assets, liabilities and equity, thereby placed the government funds to possible loss. we recommended that the municipal accountant set up special accounts in the general fund, maintain complete subsidiary ledgers, prepare and submit year-end trial balances and financial statements for each special account so that management may be adequately informed on the results of their operations.",n/a n/a,"not implemented. special accounts for market, slaughterhouse and 20% development fund under the general fund were not maintained by the accounting office.","the accountant claimed that she has to inventory first all of the properties under special accounts before she will set up special accounts in the general fund. the municipal accountant however, promised to comply with the recommendation this year of 2014.",aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1025,,"8. the municipality incurred a total amount of p7,530,027.74 for the payment of wages of job order workers, thereby defeating the purpose of coa circular 85-55a for the prevention of irregular, excessive, extravagant and unnecessary expenditures. we recommended that the number of job order workers (jows) be lessened/limited to prevent irregular, excessive, extravagant and unnecessary expenditures and in order that other development projects/programs/activities could be undertaken for the welfare of the townspeople of malasiqui",n/a n/a,partially implemented. ,the hiring of job orders were lessened this cy 2013. ,aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1026,,9. the gender and development plan and accomplishment report were not submitted to the philippine commission on women (pcw) for review and endorsement to the department of budget and management (dbm) which is not in conformity with pcw- neda-dbm joint circular no. 2012-01. we recommended that management submit the gad plan and budget (gpb) and accomplishment report (ar) to the philippine commission on women for review and endorsement to dbm in consonance with the provision of section 8.2 of pcw-neda- dbm joint circular no. 2012- 01.,,fully implemented.,complied with audit recommendation.,aar 2012,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1027,,10. the unexpended balance of the local disaster risk reduction and management fund (ldrrmf) was not transferred to trust fund contrary to the provisions of ra 10121. we recommended that the unexpended balance of the local disaster risk reduction and management fund (ldrrmf) be transferred to trust fund and should have separate depository account for the purpose of supporting disaster risk reduction and management activities within the next five years in compliance with the provisions of ra 10121.,n/a n/a,not implemented. ,the municipal accountant admitted that she was not able to transfer the unexpended balance of the local disaster risk reduction and management fund (ldrrmf) to trust fund but she promised to do it this year of 2014. ,aar 2012 ,11-malasiqui2013_part3-status_of_pys_recommendations.pdf
1338,,"1. inadequate monitoring of the grant, utilization and liquidation of cash advances by the agency head and the municipal accountant resulted in the accumulation of unliquidated cash advances totaling p676,578.00 and overstated the receivable and government equity in the same amount contrary to the provisions of coa circular no. 97-002 dated february 10, 1997 and section 89 of pd 1445. we recommended that management do the following: a. refrain from granting additional cash advances to officials and employees with unsettled cash advances; b. enforce the immediate liquidation of all outstanding cash advances to avoid the withholding of any payment due to the accountable officer and the payment of fine or imprisonment not exceeding six months, or both such fine and imprisonment in the discretion of the court in accordance with section 9.3.2 of coa circular no. 97-002 and section 128 of p.d. 1445 respectively; c. monitor the granting, utilization and liquidation of cash advances and issue reminders to grantees of cash advances who may fail to liquidate within the prescribed period; and d. upon submission of liquidation documents approved by proper authorities, the municipal accountant should record the corresponding expenses and adjust due from officers and employees account to reflect the correct balance of each account.",partially implemen ted ,"only a few have unliquidated cash advances as of december 31, 2013. ",unliquidated cash advances were deducted upon receipt of terminal leave ,r o cy 2012 aa bs. #1 ,13-iba2013_part3-status_of_py's_recommendations.pdf
1339,,"2. unserviceable properties of the municipality consisting of various equipment with a net book value of 3,748,685.81 were not disposed of, thus, exposing these properties to further deterioration due to wear and tear, possible loss and reduction of its scrap value contrary to section 79 of pd 1445 and section 125 of the new government accounting system (ngas) manual, volume i. we recommended that management create an inventory/disposal committee responsible for the identification and evaluation of reported unserviceable properties. the committee report shall be the basis of their recommendation to the local chief executive, who in turn file an application for the disposal of unserviceable properties to coa in accordance with section 79 of pd 1445 and section 125, volume i of the ngas manual.",not implemen ted,new unserviceable properties were identified hence increase the amount by 3.8m reiterated under aar obs. # 2,further physical inventory taking of properties and supplies,r o cy 2012 aa bs. #2,13-iba2013_part3-status_of_py's_recommendations.pdf
