,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
56,"7.the municipal government lagged in accomplishing several programs/projects and activities amounting to p10,595,201.44 under the 20% development fund for fy 2012 and prior years, thus, delivery of socio-economic benefits and services to its constituents was postponed. we have recommended for the concerned offices to prosecute these unimplemented priority programs/projects and activities to allow timely delivery of services to the targeted beneficiaries. ",,partially implemented.,management had assessed and evaluated the unimplemented prior years ppa and was either implemented or realigned to other similar ppa.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
57,"8.regular monitoring and assessment of status of developmental programs/projects and activities could have ensured that plans and budgets of the municipal government were executed for the respective period for which these were legislated, therefore, promoting economy, efficiency and effectiveness. we have recommended for the local finance committee to: monitor the implementation of all programs/projects/activities under the 20% development fund to support the administration’s attempt to improve the quality of service to its constituents; and assess status of on-going and completed projects to determine reasonable amount of additional allocation, if applicable and the savings, if any, which could be reprogrammed for other developmental projects, soon. ",,partially implemented.,management could not cope with the implementation of all the development projects during the year.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
58,"9.the balance of the local disaster risk reduction management fund of p9,564,732.29 was not properly disclosed on the financial statements contrary to the provision of coa circular no. 2012-002 dated september 12, 2012, thus the amount of quick response fund and mitigation fund that are to be transferred to the trust fund were not identified. we recommend for management to establish the details of the unexpended balance of the ldrrmf of p9,564,732.29 and transfer the balances of the qrf and mooe to the trust fund books as required under coa circular no. 2012-002. ",,fully implemented.,the accountant has transferred & properly recorded the ldrrmf in the year 2013 financial statements.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
70,"1 the existence and correctness of property, plant and equipment (ppe) account could not be ascertained due to the failure of management to conduct physical inventory taking of its properties every end of the year and the non- maintenance of property cards and ppe ledger cards of the accounting and supply office, respectively, contrary to section 156 of coa circular no. 92 –386 dated october 20, 1992. we recommended that the committee on inventory of plant, property and equipment to complete the physical inventory as provided by coa circular no. 92-386 dated october 20, 1992. tally with the inventory reports, the property ledger cards and the general ledger. for verified discrepancies/deficiencies,",,"not implemented, because of the incomplete data/documents turned over by the past/previous accountants",management promised to comply with the audit recommendation.,aar cy 2012 finding no. 1 p. 15,04-tuao2013_part3-status_of_pys_audit_recommendations.pdf
71,"2 3 necessary adjustments/corrections should be made so as to come up with the correct figures. enjoin the committee to assign particular personnel to conduct the reconciliation of the physical inventory report against the accounting records. thereafter, the municipal accountant should prepare a journal entry voucher to take up the discrepancies, if there is any. allowance for depreciation was not provided on the building and other depreciable properties of the lgu with a total book value of p101,618,932.72 causing overstatement of the property, plant and equipment account and the government equity account and understating expense account in violation of sec. 04, vol. i of ngas. we recommended that the municipal accountant should provide depreciation on all depreciable assets of the municipality in accordance with ngas manual. the inadequacy of storage and spaces where to keep the vouchers in the office of the",,not implemented partially implemented,the accountant promised to provide allowance for depreciation to all depreciable properties the following year. stock room/bodega was made for the accounting unit to store,aar cy 2012 finding no. 2 p. 16 aar cy 2011 finding no. 3 p. 17,04-tuao2013_part3-status_of_pys_audit_recommendations.pdf
92,"1. payments of the six (6) infrastructure projects totaling p26,477,364.16 funded out of the proceeds of loan from philippine national bank (pnb) were made thru cash advances which is not in conformity with section 4.1.4 of coa circular no. 97-002 dated february 10, 1997. in addition, these projects were implemented thru shopping and negotiated procurement which is not within the purview of section 52.1 of republic act no. 9184. we recommended that the municipal administration refrain from obtaining cash advances in the implementation of infrastructure projects and also to adhere strictly to the provisions of ra 9184 on the procurement process of goods, services and infrastructure projects. we likewise recommended that management submit an explanation why constructions of commercial stalls and 15 units of market stall were inconsistent with sb ordinance no. 01-2012 dated march 28, 2012. 2. some infractions of auditing rules and regulations were observed in the payment of disbursements amounting to p65,867,776.68 which were made even with incomplete documentation contrary to section 4(6) of presidential decree no. 1445 and article iv, section 474 (5) of republic act no. 7160 or ",,"partially- implemented. cash advances were no longer granted in payment of accomplished projects, but the same were still implemented thru shopping and negotiated purchase. partially- implemented. projects in big amounts implemented during the year were adequately","a letter of instruction was issued by the mayor addressed to department heads for compliance on the audit recommendation, duly received by the latter. explanation was submitted as to the deviations noted on the construction of market stalls. the municipal mayor issued memorandum to the department heads concerned with instruction",aar 2012 aar 2012,01-urbiztondo2013_audit_report.pdf
93,"the local government code of 1991. we recommended that the municipal accountant only certify or sign the disbursement voucher when complete and proper supporting documents are attached to it. in like manner, the oic- municipal treasurer thoroughly verifies if all supporting papers are attached to the disbursement voucher before effecting payment. 3. the existence, accuracy and validity of property, plant and equipment (ppe) account with net book value of p156,300,768.65 as of december 31, 2012 could not be ascertained due to the failure of the municipality to conduct physical inventory and the absence of adequate property records which was not in accordance with the provisions of sections 12 and 24 of the manual on new government accounting system (mngas). we reiterated the previous year’s audit recommendation that the municipal mayor create an inventory committee to conduct physical inventory of all property, plant and equipment of the municipality in order to determine their existence and condition and to reconcile the amount in the inventory report with the balance in the general ledger. likewise, the form prescribed by the mngas be complied to report on the physical count of property, plant and equipment which are owned by the municipality. 4. cash advances granted to municipal officials and employees amounting to p5,009,302.44 remained unliquidated at year-end which was ",,"documented, however, deficiencies noted in the specific project mentioned in finding no.11 were not yet complied. not implemented. no inventory committee was created and the form prescribed in mngas was not yet in use by the management. reiterated as finding no. 1. partially- implemented. substantial amount","for them to look into the list of deficiencies noted on the 2012 transactions. the process ended there – no concrete evidence of substantial compliance. assurance of the oic-municipal treasurer to spearhead the conduct of physical inventory was found nil. actual count of other items like motor vehicles is however, underway – reports to be submitted in time for preparation of 2013 aar. from p5,009,302.44 unliquidated",aar 2012 aar 2012,01-urbiztondo2013_audit_report.pdf
221,"1. the cash in bank – lcca (111) account at year-end amounting to p15,687,425.05 could not be relied upon due to the long existing unaccounted difference between the agency books and the bank amounting to p1,551,180.94 and other unrecorded reconciling items. we reiterate previous year recommendation that the municipal accountant exert more effort to trace/locate the financial transactions that might have caused the discrepancy noted in order that the necessary adjustments could be made in the agency books to arrive at the correct amount of the cash in bank account. ",,partially implemented. retrieval of documents to support the transactions are ongoing.,reconciling items captioned “differences” which had been for years are now being acted upon by the accounting office.,2012 aar,01-tayug2013_audit_report.pdf
225,"5. previous year expenditures totalling p86,977.13 were recorded as expense of the current year which is not in consonance with the modified accrual basis of accounting system thereby resulting in the overstatement of expense accounts and the understatement of government equity account. it is recommended that the management see to it that all expenses shall be recognized when incurred. all lawful expenditures pertaining to prior years should be taken-up in the books as prior year adjustment instead of charging to the expense account of the current year in order to fairly present the financial position of the municipality. ",,fully implemented.,,2012 aar,01-tayug2013_audit_report.pdf
229,"9. the 20% development fund of the lgu was not fully utilized; hence, depriving the intended beneficiaries of the benefits therefrom. we recommend that the management fully implement the 20% development fund for the benefit of the townspeople. include only projects that are attainable/implementable by the municipality so that available resources could be fully utilized. ",,partially implemented,there are ongoing projects funded out of the 20 percent development fund.,2012 aar,01-tayug2013_audit_report.pdf
286, audit observation ,,status of implementation / reasons for partial/ non- implementation,management action,ref,05-uyugan2013_part3-status_of_py's_recommendations.pdf
287,"previous turn-over paper are not yet found contrary to section 449 of coa circular no. 91-368, dated december 19, 1991, thus, the government’s ownership over the property is uncertain. we recommend that management should adhere strictly to the provisions of the above-cited regulations for the immediate titling of certificate of title to a parcel lot in the name of the municipality. exhaust all means to secure tct or any document that will serve as evidence of ownership of the untitled lot. fund should be sufficiently appropriated and be made available to defray expenses relative to the titling. 3. office building of the municipality of uyugan costing p374,444.67 was not provided with depreciation for the calendar years 2009 to 2012, thus, overstating the asset and government equity account and corresponding net income. we recommend that an inquiry be made with concerned dpwh officials, so that the project cost could be added to the original cost or in the absence of such costing, the lgu may form an appraisal committee to appraise the building to determine its current market value. we also recommend that all property, plant and equipment of the lgu should always be provided with depreciation as required in the ngas manual in order to ",,not implemented,still researching for turn-over papers of the municipal building,aar ‘12,05-uyugan2013_part3-status_of_py's_recommendations.pdf
373,"1. the reported cash-in-vault (101) account amounting to p5,003,746.97 is not reflective of the actual cash of the municipality as the amount represents the misappropriated collections of the former municipal treasurer. we recommended that management disclose the information in the financial statements and demand restitution from the former municipal treasurer and other municipal officers and employees. ",,fully implemented.,management reclassified the accounts of previous accountable officers to due from officers and employees,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
374,"2. the cash-in-bank account amounting to p11,736,274.68 is overstated by p1,022,102.51 due to the inclusion of three (3) bank accounts which have been closed since year 2000 with zero (0) balances. the municipal accountant did not make an adjustment in the book of accounts due to absence of proper authorization and incomplete supporting documents of the various disbursements made in these bank accounts. we recommended that management : 1. require the submission of valid supporting documents and duly accomplished/authorized disbursement vouchers to enable the accountant to book up the paid checks withdrawn from these accounts, and 2. oblige all concerned to pay the cash items should they fail to submit the appropriate supporting documents. ",,fully implemented.,the municipal accountant already adjusted the cash-in- bank balance.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
376,"4. the reported balance of advances to officers and employees (148) totaling p7,335,599.86 does not reflect the correct balance due to the inclusion of some accounts with sandiganbayan decision and misappropriated funds in the amount of p6,875,809.89. the remaining balance of p459,789.97 represents legitimate accounts which were not liquidated at year-end in violation of coa circulars no. 97-002 and 2009-002. we recommended that management : 1. instruct the municipal accountant to reclassify his entry to effect the correct balance of this account and submit the journal entry vouchers for verification, and 2. require the immediate settlement of all long overdue cash advances and if necessary withhold the salaries of the concerned officials and employees for the settlement thereof. comply strictly with the provisions of coa circular no. 97- 002, 2009-002 and 2012-004 in the granting, utilization and liquidation of cash advances. ",,fully implemented.,management reclassified the accounts of other officers to due from officers and employees and the account now reflects the legitimate unliquidated cash advances at the end of the year.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
378,"6. the reported balance of accounts receivable (121) account amounting to p1,020,321.54 does not reflect the correct balance due to the inclusion of receivables from sef and other funds in the total amount of p284,576.21, alleged cash hold-up of the former municipal treasurer amounting to p650,000.00 and other items amounting to p16,317.70 resulting in the overstatement of this account. we recommended that management : 1. reclassify the amount of p950,893.91 with the journal entry voucher (jev) to be submitted for rectification. dr. cr. (a) due from officers and employees (123) 666,317.70 accounts receivable (121) p666,317.70 to reclassify the account of former municipal treasurer, rogelito b. galera (b) due from other fund ( 144) p284,576.21 accounts receivable (121) 284,576.21 to reclassify account receivable to due from other funds 2. send a demand letter to the former municipal treasurer to restitute the amount of p666,317.70, and 3. if not restituted within 72 hours upon receipt of the demand letter, institute appropriate legal action. ",,fully implemented.,the accountant reclassified the erroneous accounts lodged to accounts receivables.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
379,"7. disallowances in audit totaling to p413,953.47 remain unsettled as of the end of the year. we recommended that management settle immediately the disallowances. send demand letters to all concerned and withhold salaries of those who are in active service. ",,unimplemented. incurred additional disallowances during the year. reiterated as finding no. 5.,minimal efforts to pursue collection were exerted by management,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
381,"9. accounts payable aged three years and above amounting to p366,081.26 remained as valid obligations despite with doubtful validity, thus, overstating the liability account and understating government equity. we recommended that management properly reclassify the accounts payable into due to lgus and due to other funds. determine the validity of the long over due accounts payable related to the public market. moreover, long over due accounts payable with no valid claimant should be reverted as prior years’ adjustment for the fair presentation of the financial statements. ",,fully implemented.,the accountant reverted all accounts payable which are doubtful. only current accounts remain in the schedules.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
382,"10. the reported balance of work and other animals amounting to p206,192.00 remained the same since 2010 thus, casting doubts on the reliability of the stated amount in the financial statements. we recommended that management prepare the updated inventory reports and the schedules for this account and accordingly adjust the account on its true and correct balance and submit the journal entry voucher (jev). ",,fully implemented.,the accountant adjusted the balance of the account which now reflects the correct value of existing work animals,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
383,"11. taxes withheld from officials, employees and suppliers amounting to p390,127.30 remain unremitted to the bureau of internal revenue beyond the prescribed period within which to remit contrary to section 114 of republic act 8424 dated december 11, 1997 and section 2.81 of revenue regulation 2-98 dated april 17, 1998. we recommended that the municipal accountant immediately prepare the appropriate tax return form and secure the approval of the municipal mayor for the immediate remittance of all taxes withheld to the bir. ",,fully implemented.,management updated its remittances with the bir.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
385,"13. the municipality failed to collect dormant receivables aged 3 years and more amounting to p450,326.66 arising from overpayment of supplies, salary loan repayments and amounts without details, thus, depriving the utilization of cash receipt thereon. moreover, the dormant accounts have bloated the assets account and the government equity. we recommended that management exhaust all remedies to collect from concerned suppliers by issuing demand letters supported by proper documents. if not feasible, request authority from the commission proper before writing-off these accounts from the financial statements. ",,unimplemented. reiterated in finding 5.,management did not exert extra efforts on this area.,aar 2012 aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
386,"14. the municipal treasurer did not observe the imprest system of maintaining its petty cash fund account as provided in section 48 of the manual on the new government accounting system. the petty cash fund account has a balance of p44,524.18 at year end. we recommended that the municipal treasurer implement the imprest system in handling the fund. henceforth, the petty cash custodian shall request replenishment when the disbursement reach at least 75% or as the need requires, by submitting a replenishment voucher with all supporting documents duly summarized in a report of disbursement. ",,unimplemented.,"management did not still comply with the imprest system of maintaining the petty cash fund. a balance of p29,905.80 still remains at year end.",aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
388,"16.depreciation expense on land improvements was not provided from the time the subject account was recorded thus, the net income for the year, property, plant and equipment and government equity accounts were overstated. we recommended that the municipal accountant compute and book-up the depreciation expense and accumulated depreciation on land improvements in order to present them fairly in the financial statements. adjust the books for the amount of depreciation expense to be recorded in the succeeding fiscal year as a prior year adjustment. ",,fully implemented.,the accountant recorded in the books the depreciation expenses of the land improvement items.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
389,"17. the reciprocal accounts which are used to record real property and special education tax receivables were unreliable due to inconsistent year-end balances which resulted from erroneous computation of the distribution of collections for the year credited to the general fund and the special education fund. we recommended that the accountant reconcile the distribution of real property tax collection for the two funds and effect the necessary adjustments, if there is any, for a fair presentation of the financial statements. ",,fully implemented.,the accountant maintained the balances of these reciprocal accounts equal at the end of the year.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
390,"18. the municipality did not observe the provisions stipulated in the civil service commission (csc) resolution # 020790, section 2(b), rule xi, book v of the executive order (eo) no. 292 and section 211(b) of volume i of the gaam with regards to the hiring of job order, casual and contractual personnel. we recommended that management comply strictly with the aforecited csc and coa rules and regulations. ",,fully implemented.,management complied with the audit recommendation.,aar 2012,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
393,"21. cash advances of p7,483,693.23 remained unliquidated as of december 31, 2011, contrary to the provision of commision on audit circular no. 97-002, thus resulted to the inefficient management of limited cash of the municipality we then recommended to management to immediately settle the long outstanding cash advances and if necessary withhold the salaries of officials and employees for the settlement of their cash advances. we also recommended that they should strictly adhere to the provisions of coa circular no. 97-002 and 2009-002 relative to the granting, utilization and liquidation of cash advances. ",,partially implemented other cash advances were not yet settled in full although payroll deduction is being implemented.,"management has collected and liquidated previous year’s cash advances amounting to p626,735.21.",2011 annual audit report,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
395,"23. unserviceable properties with a book value of p 1,317,804.39 are still included in the inventory report of fixed assets and are still carried in the books of the agency contrary to the provision of section 79 of presidential decree no. 1445. we recommended that all unserviceable properties should be disposed off in accordance with section 79 of presidential decree no. 1445 (p.d. 1445) and be dropped from the books in order that the true value of properties be presented in the financial statements. the property officer should also be equipped with proper training on property and supply management. ",,not implemented management assured us that they will implement the recommendation this 2014.,management has not yet disposed the unserviceable items among its properties.,2011 annual audit report,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
396,"24. copies of perfected contracts, purchase orders/job orders, together with their supporting documents were not submitted to the auditor’s office, thus, precluded the auditor for the timely review and evaluation of the contracts/transactions. management should strictly follow and comply with the provisions of coa circular no. 76-34 dated july 15, 1976, particularly on the submission of contracts to the office of the auditor within five (5) days after its perfection to ensure the timely evaluation of contracts and inspection of projects. ",,"not implemented copies of perfected contracts, purchase orders/ job orders together with their supporting documents were submitted only after inspection was conducted.",copies of contracts/pos and their supporting documents were not submitted to the auditor within the prescribed period.,2011 annual audit report,05-villaverde2013_part3-status_of_pys_audit_recommendations.pdf
398,"1 the cash in bank available at year- end totaling p3,461,734.34 under the general fund is insufficient to cover the municipality’s payable accounts amounting to p4,629,406.68 due to the management’s failure to observe the limitations provided in section 337 of republic act no. 7160, thereby resulting in cash overdraft of p1,167,672.34. we advised the municipal treasurer to coordinate closely with the municipal accountant in monitoring the availability of cash for operations to ensure that disbursements are within the existing limitation to avoid cash overdraft at the end of the calendar year. ",,not implemented. reiterated in finding no. 1 of the report.,the compliance with the audit recommendation shall be determined at year- end.,"aar 2012 observation no.1, page 17",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
400,"3 cash in bank balances of the three (3) funds as of december 31, 2012 amounting to p28,915,660.42 are not reliable due to non-preparation or delayed preparation of monthly bank reconciliation statements (contrary to the provisions of section 74 of presidential decree no. 1445 and section 3.2 of coa circular no. 96- 011. we recommended that the municipal accountant should regularly prepare the monthly bank reconciliation statements in compliance with p.d. no. 1445 and coa circulars 96-11. in doing so, appropriate adjustments shall be made to reconcile the bank and ledger balances and so with the cashbook balance of the municipal treasurer. ",,partially implemented. reiterated in finding no. 5 of the report.,the municipal accountant submitted bank reconciliation statements (brs) for the month of december 2013. monthly brs was not prepared.,"aar 2012 observation no.3, pages 18-19",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
402,"5 the grant and liquidation of cash advances were not in accordance with the provisions of coa circular no. 97- 002, thereby resulting in a balance of cash advances at year-end totaling p511,184.76. we recommended that the concerned elective officials should cause the immediate full liquidation of their cash advances considering that their term ends on june 30, 2013. the municipal accountant, being the internal auditor of the lgu, should ensure compliance to the provisions of coa circular no. 97-002. moreover, we reiterated our demand for the liquidation of cash advances embodied in coa circular no. 2012- 004 dated november 28, 2012. failure to do so on or before january 31, 2013 shall constitute cause for the filing of malversation charge under article 217, failure to liquidate cash advance under article 218 both of the revised penal code or criminal prosecution under section 128 of pd 1445. ",,partially implemented. reiterated in finding no. 6 of the report.,"except for sb rolando managuelod, the outstanding cash advances of the elective officials were deducted from their terminal leave benefits after executing an affidavit authorizing the municipal accountant to deduct it from their benefits.","aar 2012 observation no.5, pages 21-22",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
403,"6 the validity, existence and correctness of the property, plant and equipment (ppe) account costing p174,100,577.13 as of december 31, 2012 could not be ascertained due to the failure of the lgu to conduct annual physical inventory of properties and to maintain property ledger cards and the non- reconciliation of property records by the municipal accountant’s office and general services office which is contrary to existing law, rules and regulations. we recommended that the management should reconstitute the inventory committee to regularly conduct a complete physical inventory of the municipality’s properties to establish the existence of the ppe and to determine those which are already unserviceable for proper reclassification to other assets account. it is further required that timetable/deadlines set by management be strictly followed and that required reports be submitted pursuant to coa circular no. 92-386. furthermore, the accounting and general services offices should update and reconcile their existing records and effect adjustments, if necessary. ",,not implemented. reiterated in finding no. 7 of the report.,there is no physical inventory of properties conducted for the year.,"aar 2012 observation no.6, pages 22-24",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
404,"7 current portion of long-term debts amounting to p3,667,742.99 were not classified as other payables (439) contrary to the provisions of section 161 of the new government accounting system manual for local government units, volume i, thus, liabilities were not fairly presented in the financial statements as of year-end. we recommended that the municipal accountant should make the necessary adjustments to set up the current portion of long term-liabilities in accordance with the above-cited provisions of the manual on the new government accounting system for local government units. ",,implemented,"the municipal accountant submitted a copy of the jev prepared in january, 2013 to set up the current portion of long term loans.","aar 2012 observation no.7, pages 24-25",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
405,"8 trust collections amounting to p4,312,797.38 were not remitted to the agencies concerned contrary to section 69, par. (1) of p.d. 1445, thus exposing the lgu to the possible imposition of surcharges/penalties. we recommended that the accounting and treasury office should cause the prompt remittance of trust collections to the agencies concerned to avoid accumulation of penalties and other charges that these agencies may impose. ",,partially implemented reiterated in finding no. 9 of the report.,"the municipal accountant said that trust collections were already remitted to concerned agencies. for this year, they are updated in paying their trust liabilities","aar 2012 observation no.8, pages 25-26",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
406,"9 collection of real property tax and special education tax for the cy 2012 decreased by 20% and 19.30%, respectively, hence, less funds were available to finance the municipal government’s various programs/projects. we recommended that the treasury office should exert more efforts to collect real property taxes. monitoring and coordination with the respective punong barangay where property is located should be undertaken. demand letters should be sent to delinquent taxpayers to increase collections. ",,implemented,"as compared to that of cy 2012, collections for real property tax and special education tax both increased by 50%.","aar 2012 observation no.9, page 26",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
407,"10 the internal revenue allotment (ira) released to the municipality for cy 2012 as per dbm website did not reconcile with that of the lgu books in the amount of p628,744.92 due to the recording of the cys 2001 and 2004 ira differential as additional ira for the year, thereby resulting in the overstatement of the current year’s income by the same amount. we recommended that the municipal accountant should record receipt of prior years’ ira differential by crediting the prior year’s adjustment account. ",,implemented,ira differential received this year was recorded in prior years adjustment account per jev#0113-0309.,"aar 2012 observation no.10, pages 26-27",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
409,"12 the lgu has no annual procurement plan and project procurement management plan for cy 2012 which is not in accordance with the revised implementing rules and regulations of r. a. 9184, thus causing the irregular utilization of municipal funds because they have no basis in their procurement activities. we recommended that the municipal mayor should require the preparation of an annual procurement plan and project procurement management plan in compliance to the provisions of the revised implementing rules and regulations of r. a. 9184. ",,partially implemented,management failed to submit the project procurement and management plan. the lgu prepared an annual procurement plan but it is not in accordance with the standard format. the mode of procurement to be adopted is not specified.,"aar 2012 observation no.12, pages 28-29",05-tumauini2013_part3-status_of_pys_audit_recommendations.pdf
